DemandAggregatedForecast,WindAggregatedForecast,MULTI_FUEL_-24,GAS_-24,,,GasPrice,CarbonPrice,cost
4821,443.32,-2733.7,-698,,,30.58,28.14,35.1328
4956,391.64,-2733.7,-699,,,30.58,28.14,35.1328
5080,335.23,-2733.7,-702,,,30.58,28.14,35.1328
4937,312.16,-2734.7,-704,,,30.58,28.14,35.1328
4769,318.93,-2734.7,-706,,,30.58,28.14,35.1328
4923,373.26,-2735.7,-708,,,30.58,28.14,35.1328
4635,473.27,-2723,-708,,,30.58,28.14,35.1328
3870,592.23,-2723,-709,,,36.38,28.02,39.668
3545,835,-2723,-710,,,36.38,28.02,39.668
3367,1157.34,-2723,-711,,,36.38,28.02,39.668
3191,1447.49,-2723,-711,,,36.38,28.02,39.668
3096,1679.28,-2723,-711,,,36.38,28.02,39.668
3054,1887.22,-3148,-711,,,36.38,28.02,39.668
3108,2027.7,-3147,-712,,,36.38,28.02,39.668
3254,2104.14,-3147,-711,,,36.38,28.02,39.668
3806,2196.96,-3159.7,-711,,,36.38,28.02,39.668
4562,2320.56,-3159.7,-711,,,36.38,28.02,39.668
4850,2471.1,-3159.7,-710,,,36.38,28.02,39.668
4911,2514.71,-3159.7,-708,,,36.38,28.02,39.668
4888,2529.85,-3158.7,-707,,,36.38,28.02,39.668
4839,2511.25,-3157.7,-705,,,36.38,28.02,39.668
4827,2437.34,-3157.7,-704,,,36.38,28.02,39.668
4640,2346.56,-3157.7,-702,,,36.38,28.02,39.668
4559,2265.25,-3158.7,-702,,,36.38,28.02,39.668
4562,2167,-3158.7,-703,,,36.38,28.02,39.668
4686,2209.86,-3158.7,-703,,,36.38,28.02,39.668
4778,2166.67,-3159.7,-705,,,36.38,28.02,39.668
4647,2017.78,-3569.8,-706,,,36.38,28.02,39.668
4498,1869.81,-3572.7,-709,,,36.38,28.02,39.668
4510,1818.44,-3574.7,-712,,,36.38,28.02,39.668
4363,2040.23,-3563.2,-713,,,36.38,28.02,39.668
3928,2863.04,-3558.1,-714,,,37.46,26.57,39.9557
3678,3407.36,-3558.2,-714,,,37.46,26.57,39.9557
3424,3751.54,-3558.2,-715,,,37.46,26.57,39.9557
3231,3857.16,-3560.2,-716,,,37.46,26.57,39.9557
3110,3877.56,-3560.2,-717,,,37.46,26.57,39.9557
3026,3819.62,-3560.2,-716,,,37.46,26.57,39.9557
3061,3719.4,-3560.2,-716,,,37.46,26.57,39.9557
3134,3588.62,-3561.1,-716,,,37.46,26.57,39.9557
3293,3493.32,-3575.6,-717,,,37.46,26.57,39.9557
3790,3417.63,-3574.6,-718,,,37.46,26.57,39.9557
4259,3413.74,-3571.6,-717,,,37.46,26.57,39.9557
4494,3446.02,-3570.6,-717,,,37.46,26.57,39.9557
4539,3486.76,-3570.6,-717,,,37.46,26.57,39.9557
4535,3485.12,-3569.6,-716,,,37.46,26.57,39.9557
4458,3445.41,-3568.6,-716,,,37.46,26.57,39.9557
4261,3359.28,-3568.6,-715,,,37.46,26.57,39.9557
4150,3216.53,-3568.6,-716,,,37.46,26.57,39.9557
4138,3027.39,-3568.6,-714,,,37.46,26.57,39.9557
4270,2818.13,-3570.6,-714,,,37.46,26.57,39.9557
4509,2518.99,-3570.6,-714,,,37.46,26.57,39.9557
4462,2212.94,-3570.6,-714,,,37.46,26.57,39.9557
4307,1802.79,-3569.7,-715,,,37.46,26.57,39.9557
4402,1300.39,-3568.7,-715,,,37.46,26.57,39.9557
4209,987.61,-3554.3,-715,,,37.46,26.57,39.9557
